,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
168,0.2981673329325177,1.9082242034294483,20.5,18.134702394243117,1.6100568704969307,0.16870865084566625,1.5779899547425522,13.0,2021-08-05 07:00:00
169,0.2981673329325177,1.9082242034294483,20.5,18.837682009508224,1.6100568704969307,0.14614717642958744,1.6278103396337578,19.0,2021-08-05 07:10:00
170,0.2981673329325177,1.9082242034294483,20.0,18.643230058190014,1.6100568704969307,0.13482619402044863,1.5416840604536572,20.0,2021-08-05 07:20:00
171,0.2981673329325177,0.2981673329325177,30.0,26.769882964881283,1.6100568704969307,0.11706019902418507,1.3702026135372813,27.0,2021-08-05 07:30:00
172,0.2981673329325177,1.9082242034294483,24.0,22.15234182425075,1.6100568704969307,0.11980278577348624,1.289359618319845,20.0,2021-08-05 07:40:00
173,0.2981673329325177,1.9082242034294483,29.0,27.045473179209267,1.6100568704969307,0.11372629458755627,1.2410065256181657,29.0,2021-08-05 07:50:00
174,0.2981673329325177,1.9082242034294483,28.5,26.622859852677546,1.6100568704969307,0.07847191604833297,1.487482740794226,28.5,2021-08-05 08:00:00
175,0.2981673329325177,1.9082242034294483,24.0,22.21684696547605,1.6100568704969307,0.10751091678095126,1.5017348445758014,24.0,2021-08-05 08:10:00
176,0.2981673329325177,0.2981673329325177,27.0,22.68223036059846,1.6100568704969307,0.12327557683079006,1.2008145210783816,20.5,2021-08-05 08:20:00
177,0.2981673329325177,1.9082242034294483,16.0,15.691561642943181,1.6100568704969307,0.1583522776932502,1.1406771706951861,15.0,2021-08-05 08:30:00
178,0.2981673329325177,1.9082242034294483,9.0,7.320249639292474,7.450977112954165,0.1552872606884277,1.2562381371266709,6.5,2021-08-05 08:40:00
179,0.2981673329325177,1.9082242034294483,16.0,13.634702394243119,1.6100568704969307,0.17737536464207457,1.3988640465827216,8.5,2021-08-05 08:50:00
180,0.2981673329325177,7.7491444458866825,17.5,15.63845399855696,7.450977112954165,0.1791400630479227,1.4315862672816582,12.5,2021-08-05 09:00:00
181,0.2981673329325177,1.9082242034294483,22.0,19.888258606231318,1.6100568704969307,0.14961664621935655,1.2975380272987627,18.5,2021-08-05 09:10:00
182,0.2981673329325177,0.2981673329325177,20.0,16.750205211271595,1.6100568704969307,0.18277373966481117,1.325819851216279,17.5,2021-08-05 09:20:00
183,0.2981673329325177,0.4770672766412093,14.5,12.93186494426746,0.1788999437086916,0.263319762431593,1.7459461928893252,14.0,2021-08-05 09:30:00
184,0.2981673329325177,1.9082242034294483,29.5,28.001728168521517,1.6100568704969307,0.2069779534677669,1.4217127838551908,29.5,2021-08-05 09:40:00
185,0.2981673329325177,1.9082242034294483,19.5,19.019167055027534,1.6100568704969307,0.1636817350385015,1.481730668452616,19.0,2021-08-05 09:50:00
186,0.2981673329325177,0.4770672766412093,22.5,21.41711090628747,1.6100568704969307,0.14961664621935655,1.6237113896359217,22.5,2021-08-05 10:00:00
187,0.2981673329325177,1.9082242034294483,19.5,18.626811388380112,1.6100568704969307,0.051404554184117164,1.5487795595812406,19.0,2021-08-05 10:10:00
188,0.2981673329325177,1.9082242034294483,25.0,24.21213611976861,1.6100568704969307,0.16349278873681203,1.5951633786672719,24.0,2021-08-05 10:20:00
189,0.2981673329325177,0.2981673329325177,30.0,26.22086512173435,1.6100568704969307,0.18554001093025063,1.3975994198128452,30.0,2021-08-05 10:30:00
190,0.2981673329325177,1.9082242034294483,27.0,24.83174293774992,1.6100568704969307,0.25874739517794676,1.5134628346654833,26.5,2021-08-05 10:40:00
191,0.2981673329325177,1.8485950517352003,37.5,35.468233735180064,1.5504277188026827,0.21668416943733917,1.2524567106310964,37.5,2021-08-05 10:50:00
192,0.2981673329325177,1.8485950517352003,38.5,36.38301776132473,1.5504277188026827,0.11914688077954179,1.430627102177174,38.5,2021-08-05 11:00:00
193,0.2981673329325177,1.8485950517352003,20.0,17.85823569521124,1.5504277188026827,0.10371902251390082,1.240403800860726,20.0,2021-08-05 11:10:00
194,0.3578007030467127,7.7491444458866825,9.0,6.859743991737951,7.450977112954165,0.12660796160671392,1.0,3.0,2021-08-05 11:20:00
195,0.2981673329325177,7.7491444458866825,3.5,1.4649830783109081,7.450977112954165,0.13256326756248474,1.1146033560704345,0.5,2021-08-05 11:30:00
196,0.3578007030467127,0.4770672766412093,18.5,14.467548162184196,0.1192665735944966,0.15488280790348108,1.3894234973115889,15.0,2021-08-05 11:40:00
197,0.2981673329325177,0.3578007030467127,22.5,19.33627458644355,1.5504277188026827,0.13877864536908976,1.4359063753976153,22.5,2021-08-05 11:50:00
198,0.2981673329325177,1.8485950517352003,8.0,6.122154555696521,7.5105359518371335,0.20380347565284915,1.7606365115001648,3.5,2021-08-05 12:00:00
199,1.8485950517352003,1.8485950517352003,12.0,9.50466946361249,0.0,0.242513155168007,1.1679776974815357,3.0,2021-08-05 12:10:00
200,0.2981673329325177,1.8485950517352003,22.0,21.377178959898036,1.5504277188026827,0.08542237828659759,1.0,21.5,2021-08-05 12:20:00
201,0.2981673329325177,1.8485950517352003,21.0,19.401409303074914,1.5504277188026827,0.15266262057666244,1.3744795328796995,20.0,2021-08-05 12:30:00
202,0.2981673329325177,0.3578007030467127,17.0,15.291264909729154,1.6100568704969307,0.16298576416809982,1.5635317703493452,15.5,2021-08-05 12:40:00
203,0.2981673329325177,0.3578007030467127,16.5,15.71024948601227,1.6100568704969307,0.16161379713037605,1.3966826199875892,16.5,2021-08-05 12:50:00
204,0.3578007030467127,1.9082242034294483,22.0,21.377178959898036,1.5504235003827356,0.1550128853790295,1.4524216069115061,22.0,2021-08-05 13:00:00
205,0.2981673329325177,0.536700462581147,16.0,14.91711090628747,1.6100568704969307,0.1797004149970912,1.5407901665413524,16.0,2021-08-05 13:10:00
206,0.2981673329325177,0.2981673329325177,9.5,9.5,0.0,0.15885381438437052,1.4299525591522393,9.5,2021-08-05 13:20:00
207,-1.0,-1.0,,,0.0,0.03647579191726453,1.0,-32.0,2021-08-05 13:30:00
208,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 13:40:00
209,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 13:50:00
210,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 14:00:00
211,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 14:10:00
212,1.9082242034294483,1.9082242034294483,15.0,12.962927980447143,1.6100568704969307,0.0,1.0,9.0,2021-08-05 14:20:00
213,1.9082242034294483,1.9082242034294483,15.0,10.781297347703019,0.0,0.14680166050359164,1.62303741420343,2.5,2021-08-05 14:30:00
214,0.2981673329325177,1.9082242034294483,17.0,16.126811388380112,1.6100568704969307,0.14281147038612887,1.5325528833729951,16.5,2021-08-05 14:40:00
215,-1.0,-1.0,,,0.0,0.12003574182154066,1.1339180763222527,-32.0,2021-08-05 14:50:00
216,0.2981673329325177,0.2981673329325177,6.5,5.062513220655202,1.6100568704969307,0.05126624411617248,1.0,5.0,2021-08-05 15:00:00
217,0.2981673329325177,2.265992913227145,8.5,8.019167055027536,1.9678255802946272,0.11980278577348624,1.0,7.5,2021-08-05 15:10:00
218,0.2981673329325177,0.2981673329325177,12.5,9.604276322670529,1.6100568704969307,0.14049680848951976,1.3266763856117925,12.5,2021-08-05 15:20:00
219,0.2981673329325177,1.9082242034294483,7.5,6.814440850236052,1.6100568704969307,0.10049341451709859,1.072583759075911,7.5,2021-08-05 15:30:00
220,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 15:40:00
221,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 15:50:00
222,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:00:00
223,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:10:00
224,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:20:00
225,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:30:00
226,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:40:00
227,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 16:50:00
228,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:00:00
229,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:10:00
230,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:20:00
231,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:30:00
232,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:40:00
233,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 17:50:00
234,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 18:00:00
235,0.2981673329325177,0.2981673329325177,15.5,12.957397073906304,1.6100568704969307,0.0,1.0,15.5,2021-08-05 18:10:00
236,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 18:20:00
237,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 18:30:00
238,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 18:40:00
239,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-05 18:50:00
